     ====> Interaction part
Nucleon-Nucleon interaction model: who knows?
Type of calculation: magical
Number and value of starting energies:   1
  0.000000E+00
Total number of twobody matx elements:         34320    5781    22758    5781                    
Matrix elements with the following legend, NOTE no hw/A for Hcom, pipj and rirj
      Tz      Parity    J2        a        b        c        d     <ab|V|cd>    <ab|0|cd>    <ab|0|cd>    <ab|0|cd>
      -1        0        2        1        9        9       27    -0.207469     0.000000     0.000000     0.000000
      -1        0        2        1        9        9       29    -0.177388     0.000000     0.000000     0.000000
      -1        0        2        1        9       11       27     0.283386     0.000000     0.000000     0.000000
      -1        0        2        1        9       11       29     0.246517     0.000000     0.000000     0.000000
      -1        0        2        1        9       13       15    -0.339601     0.000000     0.000000     0.000000
      -1        0        2        1        9       15       17    -0.154120     0.000000     0.000000     0.000000
      -1        0        2        1        9       17       19    -0.041899     0.000000     0.000000     0.000000
      -1        0        2        1        9       21       23     0.086950     0.000000     0.000000     0.000000
      -1        0        2        1        9       23       25     0.226939     0.000000     0.000000     0.000000
      -1        0        2        1        9       25       27     0.131859     0.000000     0.000000     0.000000
      -1        0        2        1        9       27       29     0.080069     0.000000     0.000000     0.000000
      -1        0        2        1       11        1       11     0.279326     0.000000     0.000000     0.000000
      -1        0        2        1       11        1       27     0.901172     0.000000     0.000000     0.000000
      -1        0        2        1       11        1       29    -0.049751     0.000000     0.000000     0.000000
      -1        0        2        1       11        3        5    -1.271048     0.000000     0.000000     0.000000
      -1        0        2        1       11        3       15    -1.437752     0.000000     0.000000     0.000000
      -1        0        2        1       11        3       17    -0.646010     0.000000     0.000000     0.000000
      -1        0        2        1       11        3       19    -0.042398     0.000000     0.000000     0.000000
      -1        0        2        1       11        5       17    -1.146858     0.000000     0.000000     0.000000
      -1        0        2        1       11        5       19     0.183839     0.000000     0.000000     0.000000
      -1        0        2        1       11        7        9     0.934221     0.000000     0.000000     0.000000
      -1        0        2        1       11        7       23     0.685327     0.000000     0.000000     0.000000
      -1        0        2        1       11        7       25    -0.025195     0.000000     0.000000     0.000000
      -1        0        2        1       11        7       27     0.863580     0.000000     0.000000     0.000000
      -1        0        2        1       11        9       11     0.640251     0.000000     0.000000     0.000000
      -1        0        2        1       11        9       25     0.591244     0.000000     0.000000     0.000000
      -1        0        2        1       11        9       27     0.041834     0.000000     0.000000     0.000000
      -1        0        2        1       11        9       29     0.463291     0.000000     0.000000     0.000000
      -1        0        2        1       11       11       27     0.435060     0.000000     0.000000     0.000000
      -1        0        2        1       11       11       29    -0.000940     0.000000     0.000000     0.000000
      -1        0        2        1       11       13       15    -0.745866     0.000000     0.000000     0.000000
      -1        0        2        1       11       15       17    -0.672885     0.000000     0.000000     0.000000
      -1        0        2        1       11       17       19    -0.426892     0.000000     0.000000     0.000000
      -1        0        2        1       11       21       23     0.362030     0.000000     0.000000     0.000000
      -1        0        2        1       11       23       25     0.439892     0.000000     0.000000     0.000000
      -1        0        2        1       11       25       27     0.624435     0.000000     0.000000     0.000000
      -1        0        2        1       11       27       29     0.352056     0.000000     0.000000     0.000000
      -1        0        2        1       27        1       27     1.163875     0.000000     0.000000     0.000000
      -1        0        2        1       27        1       29     2.424131     0.000000     0.000000     0.000000
      -1        0        2        1       27        3        5    -1.703630     0.000000     0.000000     0.000000
      -1        0        2        1       27        3       15    -1.789720     0.000000     0.000000     0.000000
      -1        0        2        1       27        3       17    -0.701613     0.000000     0.000000     0.000000
      -1        0        2        1       27        3       19    -1.747769     0.000000     0.000000     0.000000
      -1        0        2        1       27        5       17    -0.738322     0.000000     0.000000     0.000000
      -1        0        2        1       27        5       19     1.742276     0.000000     0.000000     0.000000
      -1        0        2        1       27        7        9    -0.042076     0.000000     0.000000     0.000000
      -1        0        2        1       27        7       23     0.190721     0.000000     0.000000     0.000000
      -1        0        2        1       27        7       25     0.080362     0.000000     0.000000     0.000000
      -1        0        2        1       27        7       27     0.659528     0.000000     0.000000     0.000000
      -1        0        2        1       27        9       11     0.535292     0.000000     0.000000     0.000000
      -1        0        2        1       27        9       25    -0.036674     0.000000     0.000000     0.000000
      -1        0        2        1       27        9       27    -0.311975     0.000000     0.000000     0.000000
      -1        0        2        1       27        9       29     0.385103     0.000000     0.000000     0.000000
      -1        0        2        1       27       11       27     1.039602     0.000000     0.000000     0.000000
