7388 :    2  15   7  26      1    1.331827	   2  15   7  26      1    1.711300
7389 :    2  15   9  26      1    1.055262	   2  15   9  26      1    0.296315
7390 :    2  15  11  26      1   -2.930407	   2  15  11  26      1   -0.247125
7424 :   12  15   7  22      1   -0.478140	  12  15   7  22      1    0.007814
7425 :   12  15  21  22      1  -13.973136	  12  15  21  22      1   -0.798485
7426 :   12  15   6  23      1   -0.484250	  12  15   6  23      1   -0.970204
7428 :   12  15  22  23      1   -0.812664	  12  15  22  23      1   -1.448928
7429 :   12  15   7  24      1   -1.267640	  12  15   7  24      1   -1.677433
7431 :   12  15  23  24      1    1.252800	  12  15  23  24      1    0.993046
7432 :   12  15   6  25      1   -0.672975	  12  15   6  25      1   -0.263182
7433 :   12  15   8  25      1   -4.886858	  12  15   8  25      1    0.479705
7434 :   12  15  22  25      1   -0.632485	  12  15  22  25      1   -0.372731
7435 :   12  15  24  25      1   -0.447528	  12  15  24  25      1   -0.228485
7437 :   12  15   7  26      1   -4.586953	  12  15   7  26      1    0.779610
7440 :   12  15  25  26      1   -3.555064	  12  15  25  26      1   -0.686515
7472 :   14  15   7  22      1   -1.753530	  14  15   7  22      1   -2.622834
7474 :   14  15   6  23      1    1.753530	  14  15   6  23      1    2.622834
7476 :   14  15  22  23      1   -2.355860	  14  15  22  23      1  -15.160400
7477 :   14  15   7  24      1    0.104001	  14  15   7  24      1    0.388061
7478 :   14  15   9  24      1    0.667756	  14  15   9  24      1    0.187756
7479 :   14  15  23  24      1    0.360985	  14  15  23  24      1    0.825646
7480 :   14  15   6  25      1   -0.104001	  14  15   6  25      1   -0.388061
7481 :   14  15   8  25      1   -0.667756	  14  15   8  25      1   -0.187756
7482 :   14  15  22  25      1   -0.360985	  14  15  22  25      1   -0.825646
7483 :   14  15  24  25      1   -0.166770	  14  15  24  25      1   -0.318607
7485 :   14  15   7  26      1    1.405420	  14  15   7  26      1    1.885420
7486 :   14  15   9  26      1    0.830235	  14  15   9  26      1    5.870235
7488 :   14  15  25  26      1    0.705325	  14  15  25  26      1    0.961896
7490 :   14  15   6  27      1   -1.405420	  14  15   6  27      1   -1.885420
7491 :   14  15   8  27      1   -0.830235	  14  15   8  27      1   -5.870235
7493 :   14  15  24  27      1   -0.705325	  14  15  24  27      1   -0.961896
7494 :   14  15  26  27      1   -1.275270	  14  15  26  27      1   -3.969264
7527 :    3  16   6  25      1   -6.721690	   3  16   6  25      1    1.247250
7528 :    3  16   8  25      1   -3.246989	   3  16   8  25      1   -1.827130
7536 :    3  16   0  27      1   -0.396110	   3  16   0  27      1    0.970150
7537 :    3  16   6  27      1    2.690929	   3  16   6  27      1    1.271070
7538 :    3  16   8  27      1   -0.610912	   3  16   8  27      1    0.256780
7539 :    3  16  10  27      1   -0.837042	   3  16  10  27      1    0.278505
7546 :    3  16   0  29      1   -2.632354	   3  16   0  29      1    1.019130
7547 :    3  16   8  29      1    0.756978	   3  16   8  29      1   -0.576355
7548 :    3  16  10  29      1   -2.255884	   3  16  10  29      1    0.725540
7574 :    5  16   8  25      1   -8.660604	   5  16   8  25      1   -0.723350
7582 :    5  16   0  27      1    0.296455	   5  16   0  27      1   -1.231070
7584 :    5  16   8  27      1    1.189074	   5  16   8  27      1   -0.574760
7585 :    5  16  10  27      1    1.687254	   5  16  10  27      1    0.440035
7592 :    5  16   0  29      1   -3.693791	   5  16   0  29      1   -0.427805
7593 :    5  16   8  29      1   -2.341187	   5  16   8  29      1   -0.850475
7594 :    5  16  10  29      1   -2.874777	   5  16  10  29      1   -0.208110
7610 :   15  16   7  22      1   -4.508951	  15  16   7  22      1    1.576160
7615 :   15  16   7  24      1    1.528957	  15  16   7  24      1    1.785526
7616 :   15  16   9  24      1   -1.014470	  15  16   9  24      1   -1.254470
7618 :   15  16   6  25      1   -0.117393	  15  16   6  25      1   -1.015391
7619 :   15  16   8  25      1   -0.858580	  15  16   8  25      1   -0.018580
7620 :   15  16  22  25      1  -12.100985	  15  16  22  25      1   -0.716785
7621 :   15  16  24  25      1    0.063010	  15  16  24  25      1   -0.416990
7623 :   15  16   7  26      1    1.132160	  15  16   7  26      1    1.372160
7624 :   15  16   9  26      1   -2.622490	  15  16   9  26      1   -3.102490
7625 :   15  16  11  26      1   -3.153621	  15  16  11  26      1    1.089020
7626 :   15  16  25  26      1    0.181295	  15  16  25  26      1    0.630294
7628 :   15  16   6  27      1   -0.042580	  15  16   6  27      1   -0.882580
7629 :   15  16   8  27      1   -0.125580	  15  16   8  27      1    1.554420
7631 :   15  16  24  27      1    0.420125	  15  16  24  27      1   -0.028874
7632 :   15  16  26  27      1   -0.158201	  15  16  26  27      1    0.739795
7638 :   15  16   8  29      1   -6.045886	  15  16   8  29      1    1.053410
7640 :   15  16  26  29      1   -3.930808	  15  16  26  29      1   -0.136075
7659 :    2  17   7  24      1   -6.721690	   2  17   7  24      1    1.247250
7660 :    2  17   9  24      1   -3.246989	   2  17   9  24      1   -1.827130
7666 :    2  17   1  26      1   -0.396110	   2  17   1  26      1    0.970150
7667 :    2  17   7  26      1    2.690929	   2  17   7  26      1    1.271070
7668 :    2  17   9  26      1   -0.610912	   2  17   9  26      1    0.256780
7669 :    2  17  11  26      1   -0.837042	   2  17  11  26      1    0.278505
7677 :    2  17   1  28      1   -2.632354	   2  17   1  28      1    1.019130
7678 :    2  17   9  28      1    0.756978	   2  17   9  28      1   -0.576355
7679 :    2  17  11  28      1   -2.255884	   2  17  11  28      1    0.725540
